1246,18237,11546
63,11,40
123,32,696
128,82,361
88,69,591
10,65,585
12,36,310
3,60,654
47,68,1226
28,58,949
9,31,124
85,13,406
111,82,514
107,67,875
119,22,671
13,57,531
7,46,143
96,91,1190
78,8,284
76,28,906
131,17,414
137,54,473
121,15,157
74,62,478
67,44,179
103,15,552
106,35,813
25,3,520
21,68,533
46,20,275
29,82,424
138,18,867
130,77,816
2,33,1108
16,42,998
23,49,584
129,69,882
61,90,1045
121,64,546
111,46,320
2,15,1197
132,41,636
124,91,670
87,76,687
107,43,114
81,58,640
132,42,899
141,7,733
111,41,1102
26,16,403
130,64,834
31,70,414
15,46,427
85,83,618
59,44,440
77,33,117
92,92,381
114,44,1218
3,2,1127
127,25,657
68,92,106
9,52,173
146,9,1009
27,83,755
13,1,91
45,32,671
62,86,246
31,87,826
105,85,123
17,42,106
96,12,1206
136,89,264
53,8,433
71,29,509
15,38,177
58,10,177
106,11,1204
96,38,52
104,33,1112
109,83,763
129,38,149
76,89,53
3,66,1152
135,31,17
112,14,943
80,15,1164
96,46,596
121,42,163
99,91,1208
83,3,1109
6,58,788
77,58,968
144,73,1237
130,84,1172
143,57,218
85,81,198
33,12,118
17,40,460
120,26,659
50,39,1213
7,41,894
86,45,647
41,76,264
14,74,210
101,46,505
3,80,905
12,84,1008
94,5,469
48,60,561
58,93,233
103,81,1160
83,28,1111
63,87,352
19,38,927
116,40,326
23,79,749
92,54,673
109,46,934
119,37,280
116,40,705
60,50,304
69,10,516
68,6,234
10,64,1018
75,76,691
34,35,744
43,30,590
30,45,75
28,64,904
86,90,717
96,51,98
135,32,866
77,29,716
36,76,926
92,38,1124
145,14,741
71,48,985
7,7,1068
106,44,1113
13,58,643
23,15,1202
74,30,1229
1,40,998
50,2,275
96,37,261
66,90,970
35,61,1012
12,8,263
108,71,404
14,63,411
46,16,195
26,17,759
77,7,124
28,42,791
90,67,347
85,61,9
138,43,919
113,56,671
62,25,437
126,69,1098
119,22,985
45,52,1214
128,50,412
86,10,311
67,93,653
86,66,863
70,25,1086
57,87,1134
38,56,387
22,22,1074
50,28,397
3,34,1127
86,64,199
97,20,1110
94,21,944
113,83,385
89,40,397
92,21,916
73,93,1141
95,43,280
144,50,287
99,13,674
19,2,70
57,22,69
96,3,1183
10,63,846
12,29,1014
69,29,1079
123,41,194
109,87,148
10,24,52
110,46,1016
82,46,457
111,58,1173
98,10,1135
96,2,1225
120,76,426
35,8,1037
79,84,301
27,20,1192
104,13,546
91,15,354
146,81,562
91,2,137
73,41,501
110,79,1204
112,53,909
19,89,816
115,79,639
26,26,945
4,35,215
118,1,555
110,39,558
143,12,81
94,56,887
113,79,813
14,90,837
55,12,991
46,46,595
25,8,777
111,1,120
109,25,1171
11,90,821
91,80,1061
9,10,454
121,33,6
108,27,527
72,76,553
94,35,577
43,35,926
124,88,825
69,63,782
89,47,978
94,10,70
102,2,822
15,29,188
78,21,1140
21,3,5
133,36,907
86,9,620
108,36,1134
128,16,46
94,93,402
71,41,78
4,28,63
38,32,797
58,3,150
31,66,887
104,19,193
94,18,519
35,33,672
3,44,480
42,7,989
22,41,376
125,74,707
95,17,1094
55,93,69
54,80,759
62,23,1106
5,41,706
66,5,541
50,36,254
73,48,835
106,73,1050
4,91,790
46,48,1053
133,87,145
45,24,757
17,69,578
16,82,989
82,30,877
83,30,1060
72,80,602
67,77,256
112,25,529
100,47,881
40,33,294
91,67,371
111,64,583
6,88,846
7,2,954
82,30,867
83,66,872
3,36,199
28,50,981
132,74,94
145,18,410
116,23,91
127,7,429
103,49,1207
103,22,663
90,50,163
22,24,378
29,66,757
13,41,463
23,41,316
31,11,817
124,4,64
140,33,1024
27,77,634
78,1,1207
71,49,696
24,84,946
15,12,121
100,8,1165
61,7,1158
90,43,479
12,47,1023
1,93,276
8,77,1219
129,10,392
63,78,47
140,8,820
28,78,624
42,89,1054
111,92,187
47,53,671
129,89,951
17,21,1228
81,7,820
134,70,831
105,79,1230
89,76,748
66,56,351
135,37,987
66,44,419
22,79,280
117,72,464
136,88,1048
74,57,864
3,13,1035
29,65,967
9,56,102
94,45,1074
81,23,916
103,70,1147
34,90,711
60,75,954
115,25,572
76,87,769
131,44,500
125,86,400
108,61,102
22,32,908
108,74,751
62,84,1204
107,86,203
141,25,493
20,45,294
71,39,224
46,25,181
37,60,471
112,8,188
43,89,274
97,93,316
36,20,303
42,23,812
7,27,908
98,25,743
90,49,621
32,10,1091
109,53,445
29,55,1192
108,36,198
33,4,223
89,80,263
134,86,659
125,48,1237
91,49,1041
58,41,135
145,84,204
2,19,630
117,64,1080
140,9,1075
26,18,1237
61,27,1046
51,77,306
103,4,1053
72,19,305
32,42,182
29,54,176
108,53,210
31,41,832
70,30,388
85,35,94
15,82,486
34,2,707
76,91,408
101,13,708
56,83,199
75,85,255
135,27,592
105,24,191
100,15,1090
80,19,479
81,38,485
71,21,152
118,52,319
114,41,25
27,63,621
11,17,1167
76,77,30
102,8,1096
93,47,197
52,35,573
63,79,788
52,28,1019
15,54,12
63,3,1070
58,70,788
97,91,955
61,79,531
9,31,42
123,19,187
70,30,1164
74,32,529
117,6,907
51,76,744
90,10,608
8,52,46
106,66,1229
61,13,348
47,11,690
121,89,982
100,5,701
134,56,251
43,31,878
37,1,794
78,23,913
9,23,71
64,92,900
120,20,177
70,57,1241
69,64,666
10,44,862
83,86,506
71,4,233
24,28,1241
125,60,349
36,71,610
126,14,621
76,80,910
72,45,606
51,60,969
82,11,1044
44,26,333
62,57,272
48,9,492
17,23,1132
37,65,1238
5,79,852
46,45,961
49,11,997
78,90,755
61,30,323
26,2,486
51,76,2
120,33,1103
97,12,1212
7,90,709
82,66,406
14,59,168
95,28,434
119,29,765
138,2,181
